country	year	ddd.per.thousand	sector	atc	notes
Norway	2015	NA	AC	J01CR	reported.zero
Poland	2015	4.5	AC	J01CR	NA
Portugal	2015	9.3	AC	J01CR	NA
Romania	2015	10.1	AC	J01CR	pc.hosp.total
Slovakia	2015	6.1	AC	J01CR	NA
Slovenia	2015	4.5	AC	J01CR	NA
Spain	2015	8.9	AC	J01CR	NA
Sweden	2015	0.3	AC	J01CR	NA
United Kingdom	2015	1.2	AC	J01CR	NA
Austria	2015	1.44	AC	J01D	NA
Belgium	2015	1.44	AC	J01D	NA
Bulgaria	2015	3.9	AC	J01D	NA
Croatia	2015	2.74	AC	J01D	NA
Cyprus	2015	5.27	AC	J01D	pc.hosp.total
Czech Republic	2015	2.23	AC	J01D	NA
Denmark	2015	0.03	AC	J01D	NA
Estonia	2015	1.22	AC	J01D	NA
Finland	2015	2.1	AC	J01D	NA
France	2015	2.12	AC	J01D	NA
Germany	2015	3.11	AC	J01D	NA
Greece	2015	7.55	AC	J01D	NA
Hungary	2015	1.98	AC	J01D	NA
Iceland	2015	0.46	AC	J01D	NA
Ireland	2015	1.16	AC	J01D	NA
Italy	2015	2.33	AC	J01D	NA
Latvia	2015	0.52	AC	J01D	NA
Liechtenstein	2015	NA	AC	J01D	missing.data
Lithuania	2015	1.16	AC	J01D	NA
Luxembourg	2015	3.46	AC	J01D	NA
Malta	2015	4.11	AC	J01D	NA
Netherlands	2015	0.04	AC	J01D	NA
Norway	2015	0.08	AC	J01D	NA
Poland	2015	2.87	AC	J01D	NA
Portugal	2015	1.56	AC	J01D	NA
Romania	2015	5.28	AC	J01D	pc.hosp.total
Slovakia	2015	4.71	AC	J01D	NA
Slovenia	2015	0.31	AC	J01D	NA
